time,stress,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,4.66602,25,cyclic-time-stress,cyclic-time-stress,0.015,4.30E-04,195600,0.29
65.6368,-284.0676,,,,,,,,
65.73699,-283.83375,,,,,,,,
65.83679,-284.6912,,,,,,,,
65.9368,-284.6912,,,,,,,,
66.0368,-285.31483,,,,,,,,
66.1368,-285.15894,,,,,,,,
66.23679,-285.31483,,,,,,,,
66.33679,-285.62663,,,,,,,,
66.4368,-285.47074,,,,,,,,
66.5368,-285.8605,,,,,,,,
66.63699,-285.8605,,,,,,,,
66.73679,-286.09437,,,,,,,,
66.837,-286.1723,,,,,,,,
66.937,-286.48408,,,,,,,,
67.037,-286.79593,,,,,,,,
67.1368,-286.25024,,,,,,,,
67.23699,-287.18569,,,,,,,,
67.337,-287.02977,,,,,,,,
67.437,-287.49749,,,,,,,,
67.537,-287.18569,,,,,,,,
67.6368,-287.41953,,,,,,,,
67.73699,-287.57542,,,,,,,,
67.837,-287.80929,,,,,,,,
67.9368,-288.27701,,,,,,,,
68.037,-288.4329,,,,,,,,
68.13699,-288.74472,,,,,,,,
68.23679,-288.58881,,,,,,,,
68.337,-288.90061,,,,,,,,
68.437,-289.13448,,,,,,,,
68.537,-289.36833,,,,,,,,
68.63699,-289.36833,,,,,,,,
68.73699,-289.68013,,,,,,,,
68.837,-289.99195,,,,,,,,
68.937,-289.91397,,,,,,,,
69.037,-290.38171,,,,,,,,
69.1368,-290.45964,,,,,,,,
69.23699,-290.61556,,,,,,,,
69.337,-290.61556,,,,,,,,
69.437,-290.77145,,,,,,,,
69.5368,-290.84943,,,,,,,,
69.63699,-291.08327,,,,,,,,
69.73699,-291.00534,,,,,,,,
69.83679,-291.1612,,,,,,,,
69.937,-291.7069,,,,,,,,
70.037,-291.55096,,,,,,,,
70.13699,-291.86281,,,,,,,,
70.23699,-291.7069,,,,,,,,
70.337,-292.09666,,,,,,,,
70.4368,-292.01868,,,,,,,,
70.537,-292.17459,,,,,,,,
70.63699,-292.48639,,,,,,,,
70.73679,-292.56437,,,,,,,,
70.837,-292.87615,,,,,,,,
70.937,-292.79822,,,,,,,,
71.037,-293.11,,,,,,,,
71.13699,-293.03206,,,,,,,,
71.23699,-293.18795,,,,,,,,
71.337,-293.73362,,,,,,,,
71.437,-293.49978,,,,,,,,
71.537,-294.12338,,,,,,,,
71.63699,-293.88954,,,,,,,,
71.73699,-294.51314,,,,,,,,
71.837,-294.43521,,,,,,,,
71.9368,-294.5911,,,,,,,,
72.037,-294.51314,,,,,,,,
72.13699,-294.82494,,,,,,,,
72.23699,-294.98086,,,,,,,,
72.337,-295.05881,,,,,,,,
72.437,-294.9029,,,,,,,,
72.537,-295.05881,,,,,,,,
72.63699,-295.29268,,,,,,,,
72.73699,-295.29268,,,,,,,,
72.837,-295.52653,,,,,,,,
72.937,-295.52653,,,,,,,,
73.037,-295.91631,,,,,,,,
73.13699,-295.91631,,,,,,,,
73.23699,-296.30602,,,,,,,,
73.337,-296.07217,,,,,,,,
73.437,-296.15015,,,,,,,,
73.537,-296.15015,,,,,,,,
73.63699,-296.384,,,,,,,,
