x,y,type,temp,stress
332.74,2.972,,,
333.07,2.9748,,,
333.4,2.9778,,,
333.75,2.9808,,,
334.02,2.9822,,,
334.34,2.9859,,,
334.77,2.9888,,,
335.42,2.9924,,,
335.87,2.9969,,,
336.34,3.0006,,,
336.62,3.0018,,,
336.99,3.0051,,,
337.69,3.0109,,,
338.29,3.0165,,,
338.58,3.0183,,,
339.09,3.0217,,,
339.68,3.0258,,,
339.96,3.0278,,,
340.31,3.0309,,,
340.79,3.0336,,,
341.28,3.0376,,,
341.65,3.0414,,,
341.95,3.0441,,,
342.2,3.0453,,,
342.5,3.0475,,,
342.9,3.0497,,,
343.35,3.0545,,,
343.8,3.0582,,,
344.25,3.0612,,,
344.85,3.0652,,,
345.13,3.0676,,,
345.45,3.0703,,,
345.9,3.0739,,,
346.3,3.0764,,,
346.68,3.08,,,
346.97,3.0802,,,
347.2,3.0837,,,
347.64,3.0864,,,
347.92,3.0881,,,
348.25,3.0915,,,
348.74,3.0949,,,
349.04,3.097,,,
349.35,3.099,,,
349.7,3.1016,,,
350.12,3.1048,,,
350.42,3.108,,,
350.72,3.1099,,,
351.11,3.1126,,,
351.56,3.1164,,,
351.91,3.1183,,,
352.57,3.1233,,,
352.94,3.1264,,,
353.58,3.1309,,,
353.94,3.1345,,,
354.46,3.1379,,,
354.89,3.1407,,,
355.28,3.1453,,,
355.76,3.1482,,,
356.31,3.1513,,,
356.65,3.1544,,,
356.91,3.1561,,,
357.23,3.1585,,,
357.61,3.1611,,,
358,3.1645,,,
358.28,3.1671,,,
358.56,3.1684,,,
358.9,3.171,,,
359.35,3.1742,,,
359.72,3.1766,,,
360.03,3.1792,,,
360.37,3.1812,,,
360.88,3.1866,,,
361.18,3.1881,,,
361.5,3.1902,,,
361.87,3.1931,,,
362.59,3.198,,,
362.94,3.2008,,,
363.19,3.2035,,,
363.54,3.2051,,,
363.89,3.2081,,,
364.2,3.2096,,,
364.72,3.2139,,,
365.14,3.2177,,,
365.42,3.2191,,,
365.69,3.2212,,,
366.01,3.2243,,,
366.34,3.2262,,,
366.94,3.2302,,,
367.29,3.2331,,,
368.14,3.24,,,
368.63,3.2439,,,
369.06,3.2472,,,
369.76,3.2519,,,
370.04,3.2552,,,
370.79,3.2604,,,
371.14,3.2633,,,
371.93,3.2692,,,
372.28,3.2719,,,
372.56,3.274,,,
372.81,3.2754,,,
373.55,3.2814,,,
373.8,3.2831,,,
374.18,3.2863,,,
374.43,3.2876,,,
374.9,3.2909,,,
375.23,3.2944,,,
375.77,3.2979,,,
376.22,3.3018,,,
376.57,3.305,,,
376.85,3.3071,,,
377.1,3.3086,,,
377.47,3.3118,,,
377.72,3.3129,,,
378.07,3.3152,,,
378.62,3.3193,,,
